Hotel Name,Room Type,New Room Type,Room Count,Rates,MEA New,,MPT Reserve,Delegate Booking,cico,Classification,Contact person,Contact no,Verfiy,,,
SHERATON GRAND PALACE,Standard,Base,76,10800,20,,15,0,41,5 Star Deluxe,Pranay,9111108825,Yes,,,
SHERATON GRAND PALACE,Premium,Premium,19,13000,0,,4,4,11,,,,,,,
SHERATON GRAND PALACE,Suite,Suite,20,16200,10,,1,4,5,,,,,,,
SHERATON GRAND PALACE,Presidential Suite,Presidential Suite,1,0,1,,0,0,0,,,,,,,
INDORE MARRIOTT,Superior,Base,79,10800,62,,0,17,0,5 Star Deluxe,Vikram,7970003503,Yes,,,
INDORE MARRIOTT,Premier,Premium,94,13000,21,,18,40,15,,,,,,,
INDORE MARRIOTT,Suite,Suite,11,16200,10,,0,1,0,,,,,,,
RADISSON BLU,Superior,Base,79,10800,38,,15,4,22,5 Star Deluxe,Sudeep,8085953809,Yes,,,
RADISSON BLU,Premium,Premium,100,13000,82,,0,18,0,,,,,,,
RADISSON BLU,Suite,Suite,15,16200,13,,2,0,0,,,,,,,
RADISSON BLU,Suite,Business Center,1,0,1,,0,0,0,,,,,,,
RADISSON BLU,Presidential Suite,Presidential Suite,1,118000,1,,0,0,0,,,,,,,
THE PARK,Luxury Rooms,Base,17,10800,14,,3,0,0,5 Star Deluxe,Javed,8518083832,Yes,,,
THE PARK,Premium Rooms,Premium,68,13000,78,,0,0,-10,,,,,,,
THE PARK,Emerald Suite,Suite,8,16200,11,,0,3,-6,,,,,,,
THE PARK,Suite,Business Center,1,0,5,,0,0,-4,,,,,,,
THE PARK,Presidential Suite,Presidential Suite,1,100000,1,,0,0,0,,,,,,,
ESSENTIA LUXURY,Deluxe,Base,50,8650,50,,0,0,0,5 Star Level,Dilip Jat,8817404600,Yes,,,
ESSENTIA LUXURY,Premium,Premium,32,10800,0,,6,0,26,,,,,,,
ESSENTIA LUXURY,Suite,Suite,8,11900,8,,0,0,0,,,,,,,
Wow Hotel ,Premier,Base,60,8650,20,,12,11,17,5 Star Level,,,,,,
Wow Hotel ,Executive,Premium,28,10800,0,,6,3,19,,,,,,,
Wow Hotel ,Suite,Suite,9,11900,5,,2,2,0,,,,,,,
SAYAJI,Grande,Base,117,8650,70,,22,25,0,5 Star Level,umar,7898801350,yes,,,
SAYAJI,Club Grande,Premium,75,10800,38,,15,4,18,,,,,,,
SAYAJI,Suite,Suite,4,11900,0,,0,7,-3,,,,,,,
GOLDEN LEAVES CONVENTION CENTER,Executive,Premium,92,7350,0,,18,1,73,4 Star Level,Puneet,9109103160,Yes,,,
GOLDEN LEAVES CONVENTION CENTER,Suite,Suite,2,8400,0,,1,0,1,,,,,,,
FAIRFIELD By MARRIOTT,Superior Room,Base,37,5250,0,,0,37,0,4 Star Level,Amitabh,9109112810,Yes,,,
FAIRFIELD By MARRIOTT,Skyline Rooms,Premium,49,7350,2,,7,12,28,,,,,,,
FAIRFIELD By MARRIOTT,Suite,Suite,4,8400,0,,1,2,1,,,,,,,
LEMON TREE,Deluxe Room,Base,8,5250,0,,2,1,5,4 Star Level,Himmanshu,9329470987,Yes,,,
LEMON TREE,Junior Suite,Premium,70,7350,0,,14,0,56,,,,,,,
LEMON TREE,Executive Suite,Suite,20,8400,0,,4,1,15,,,,,,,
SHREEMAYA RESIDENCY,Executive,Premium,20,7350,0,,4,5,11,4 Star Level,Raveena,9630091722,Yes,,,
EFFOTEL By SAYAJI,Deluxe,Base,100,5250,50,,20,0,30,4 Star Level,Anurag Anand,7898801302,Yes,,,
EFFOTEL By SAYAJI,Premium,Premium,62,7350,0,,13,0,49,,,,,,,
EFFOTEL By SAYAJI,Suite,Suite,3,8400,0,,1,0,2,,,,,,,
SURE STAY PLUS By BEST WESTERN,Superior King Bed,Base,9,5250,0,,2,0,7,4 Star Level,Ramesh Jadoun,7389945612,Yes,,,
SURE STAY PLUS By BEST WESTERN,Deluxe Room,Premium,57,7350,0,,11,1,45,,,,,,,
SURE STAY PLUS By BEST WESTERN,Suite Room,Suite,5,8400,0,,1,0,4,,,,,,,
HRJ SAROVAR PORTICO INDORE,Superior,Base,29,5250,16,,6,0,7,4 Star Level,Neeraj Sharma,9109136601,Enquery,,,
HRJ SAROVAR PORTICO INDORE,Deluxe,Premium,24,7350,24,,0,0,0,,,,,,,
HRJ SAROVAR PORTICO INDORE,Executive,Premium,3,7350,0,,1,0,2,,,,,,,
HRJ SAROVAR PORTICO INDORE,Suite,Suite,4,8400,0,,1,0,3,,,,,,,
KYRIAD HOTEL,Superior - SGL,Base,24,3150,0,,5,13,6,3 Star Level,Hemant Jat,8871134831,Yes,,,
KYRIAD HOTEL,Premier - SGL,Premium,9,4200,0,,2,7,0,,,,,,,
KYRIAD HOTEL,Suite -- SGL,Suite,6,5250,0,,1,1,4,,,,,,,
PRIDE HOTEL & CONVENTION CENTER INDORE,Deluxe,Base,60,3150,0,,12,2,46,3 Star Level,,,,,,
PRIDE HOTEL & CONVENTION CENTER INDORE,Cottages,Premium,10,4200,0,,2,0,8,,,,,,,
PRIDE HOTEL & CONVENTION CENTER INDORE,JR. Suite,Premium,2,4200,0,,1,0,1,,,,,,,
PRIDE HOTEL & CONVENTION CENTER INDORE,Suite,Suite,3,5250,0,,1,0,2,,,,,,,
ENRISE By SAYAJI RAU,Category-1,Base,15,3150,0,,3,0,12,3 Star Level,,,,,,
ENRISE By SAYAJI RAU,Category-2,Premium,12,4200,0,,2,0,10,,,,,,,
ENRISE By SAYAJI RAU,Suite,Suite,3,5250,0,,1,0,2,,,,,,,
JALSA BANQUETS & RESORTS,Superior,Base,35,3150,0,,7,0,28,3 Star Level,,,,,,
JALSA BANQUETS & RESORTS,Premium,Premium,13,4200,0,,3,0,10,,,,,,,
JALSA BANQUETS & RESORTS,Suite,Suite,2,5250,0,,1,0,1,,,,,,,
CLARION INN,Deluxe,Base,23,3150,0,,5,0,18,3 Star Level,Vishal polish,7697667321,Yes,,,
CLARION INN,Superior,Premium,31,4200,0,,6,0,25,,,,,,,
CLARION INN,Suite,Suite,6,5250,0,,1,0,5,,,,,,,
SURYA,Deluxe,Base,4,3150,0,,1,0,3,3 Star Level,,,,,,
SURYA,Executive,Premium,29,4200,0,,6,0,23,,,,,,,
SURYA,Suite,Suite,2,5250,0,,1,0,1,,,,,,,
HOTEL PRESIDENT PARK,All Suite Rooms,Premium,48,4200,0,,9,2,37,3 Star Level,A K Chowdhary,9826247528,Yes,,,
BHANDARI FARM & RESORT,Deluxe,Base,10,3150,0,,2,0,8,3 Star Level,,,,,,
BHANDARI FARM & RESORT,Executive,Premium,10,4200,0,,2,0,8,,,,,,,
BHANDARI FARM & RESORT,Premium,Premium,22,4200,0,,4,0,18,,,,,,,
BHANDARI FARM & RESORT,Executive Suite,Suite,3,5250,0,,1,0,2,,,,,,,
WINWAY,Standard,Base,14,3150,0,,4,1,9,3 Star Level,,,,,,
WINWAY,Deluxe,Premium,13,4200,0,,3,0,10,,,,,,,
WINWAY,Junior Suite,Suite,2,5250,0,,1,0,1,,,,,,,
WINWAY,Presidential Suite,Presidential Suite,1,7450,0,,0,0,1,,,,,,,
CROWN PALACE,Royal,Base,15,3150,0,,3,0,12,3 Star Level,Kanupriya,7574853666,Yes,,,
CROWN PALACE,Executive,Premium,24,4200,0,,5,0,19,,,,,,,
CROWN PALACE,Suite,Suite,2,5250,0,,1,0,1,,,,,,,
MANGAL CITY,Deluxe,Base,31,3150,25,,6,0,0,3 Star Level,,,,,,
MANGAL CITY,Superior Deluxe,Premium,31,4200,0,,6,0,25,,,,,,,
MANGAL CITY,Suite,Suite,4,5250,0,,1,1,2,,,,,,,
KANCHAN,Standard,Base,10,3150,0,,2,0,8,3 Star Level,Poonam Bhatiya,9993272000,Yes,,,
KANCHAN,Deluxe,Premium,10,4200,0,,2,0,8,,,,,,,
PAPAYA TREE HOTELS,Deluxe,Base,20,3150,0,,4,0,16,3 Star Level,,,,,,
PAPAYA TREE HOTELS,Superior Deluxe,Premium,15,4200,0,,3,0,12,,,,,,,
PAPAYA TREE HOTELS,Suite,Suite,5,5250,0,,1,0,4,,,,,,,
CLICK HOTEL SAPPHIRE STAR,Deluxe Rooms,Base,22,3150,0,,4,0,18,3 Star Level,,,,,,
CLICK HOTEL SAPPHIRE STAR,Premium Room,Premium,2,4200,0,,1,0,1,,,,,,,
SHREEMAYA RNT MARG,Regal,Premium,35,4200,4,,5,26,0,3 Star Level,Raveena,9630091722,Yes,,,
SOMDEEP PALACE,Luxury Rooms,Base,5,3150,5,,0,0,0,3 Star Level,,,,,,
SOMDEEP PALACE,Executive,Premium,18,4200,18,,0,0,0,,,,,,,
PRINCESS PALACE,Superior,Base,13,3150,0,,2,0,11,3 Star Level,,,,,,
PRINCESS PALACE,Premier,Premium,8,4200,0,,2,0,6,,,,,,,
PRINCESS PALACE,Busness Class,Suite,4,5250,0,,1,0,3,,,,,,,
HOTEL PRESIDENT,Executive Deluxe,Base,42,3150,0,,8,0,34,3 Star Level,A K Chowdhary,9826247528,Yes,,,
HOTEL PRESIDENT,Super Deluxe,Premium,8,4200,0,,2,0,6,,,,,,,
GINGER INDORE,Standard Room,Base,30,3150,0,,6,0,24,3 Star Level,Surendra Mehra,9522226092,,,,
GINGER INDORE,Deluxe,Suite,35,5250,0,,6,0,29,,,,,,,
INFINITI HOTEL & SPA,Superior,Base,12,3150,0,,3,1,8,3 Star Level,,,,,,
INFINITI HOTEL & SPA,Club,Premium,11,4200,0,,2,0,9,,,,,,,
INFINITI HOTEL & SPA,Club Delux,Suite,14,5250,0,,3,0,11,,,,,,,
INFINITI HOTEL & SPA,Suite,Suite,3,5250,0,,1,0,2,,,,,,,
AMARVILAS,Deluxe,Base,29,3150,0,,6,1,22,3 Star Level,Kabir Arora,7773899888,Yes,,,
AMARVILAS,Executive,Premium,11,4200,0,,2,0,9,,,,,,,
AMARVILAS,Suite,Suite,5,5250,0,,1,0,4,,,,,,,
WATERLILLY,Executive,Base,42,3150,0,,9,0,33,3 Star Level,Tapan,8982222522,,,,
REGENTA CENTRAL,SUPERIOR ROOM,Base,38,3150,0,,7,0,31,3 Star Level,Preet Huddar,7441122239,Yes,,,
REGENTA CENTRAL,EXECUTIVE ROOM,Premium,10,4200,0,,2,0,8,,,,,,,
REGENTA CENTRAL,SUITE ROOM,Suite,2,5250,0,,1,0,1,,,,,,,
